model,risk,accuracy,precision,recall,f1,roc_auc,elapsed_seconds
quantum_kernel_svm,concentration_risk,0.6666666666666666,0.0,0.0,0.0,0.5511111111111111,0.004246472381055355
quantum_kernel_svm,volatility_risk,0.6444444444444445,0.0,0.0,0.0,0.4956896551724138,0.0023952131159603596
quantum_kernel_svm,liquidity_risk,0.7777777777777778,0.0,0.0,0.0,0.4885714285714286,0.0023313122801482677
classical_rbf_svm_same_subset,concentration_risk,0.8888888888888888,1.0,0.6666666666666666,0.8,0.98,0.005752202123403549
classical_rbf_svm_same_subset,volatility_risk,0.9333333333333333,1.0,0.8125,0.896551724137931,1.0,0.004924592096358538
classical_rbf_svm_same_subset,liquidity_risk,0.9333333333333333,1.0,0.7,0.8235294117647058,0.9942857142857142,0.004805075936019421
