model,risk,accuracy,precision,recall,f1,roc_auc,elapsed_seconds,threshold
quantum_kernel_svm_optimized,concentration_risk,0.9833333333333333,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9993894993894994,287.8997232541442,0.5
quantum_kernel_svm_optimized,volatility_risk,0.9833333333333333,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9990842490842491,230.925389458891,0.5
quantum_kernel_svm_optimized,liquidity_risk,0.9916666666666667,0.9629629629629629,1.0,0.9811320754716981,1.0,130.62597121717408,0.5
quantum_kernel_svm_full,concentration_risk,0.6416666666666667,0.3333333333333333,0.0238095238095238,0.0444444444444444,0.6923076923076923,0.0234717261046171,0.5
quantum_kernel_svm_full,volatility_risk,0.6666666666666666,1.0,0.0476190476190476,0.0909090909090909,0.6602564102564102,0.0081518837250769,0.5
quantum_kernel_svm_full,liquidity_risk,0.7833333333333333,0.0,0.0,0.0,0.576923076923077,0.0083725391887128,0.5
classical_rbf_svm,concentration_risk,0.925,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.9887057387057387,0.037871463689953,
classical_rbf_svm,volatility_risk,0.9666666666666668,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9951159951159952,0.0382057889364659,
classical_rbf_svm,liquidity_risk,0.975,1.0,0.8846153846153846,0.9387755102040816,0.9954991816693944,0.0352330231107771,
